-0.35613975,0.01040262,0.73159134,-0.01884501,0.00939150,0.06349843,0.99775976,0.08590776,0.11829814,0.07938832,0.68463731,-0.53458130,-0.14179394,-0.52654099,-0.06348470,-0.20430085,0.24723132,0.12848313,-0.03287442,-0.14044686,0.04264280,0.11344036,-0.35714790,0.22467421,-0.66206163,1.11772430,0.01939323,0.00465170,0.14250998,-0.10418659,-0.26139826,0.66683888,1.23371577,0.26399428,0.01481041,-0.20564641
-0.38364404,0.01590004,0.72963548,0.00017603,-0.00083102,0.06747220,0.99772078,0.08371594,0.06633422,0.10411407,0.66612130,-0.56265867,-0.11634228,-0.50811726,-0.10866577,-0.17990559,0.17129195,0.11858693,-0.00125766,-0.14496718,0.00520822,0.13987796,-0.37853870,0.21766417,-0.64253622,1.12289286,-0.00262911,0.00213635,0.15704243,-0.08627959,-0.25163373,0.63817596,1.25835407,0.29384902,0.02068688,-0.19991462
-0.40920258,0.02126830,0.72956765,0.02114940,-0.01234366,0.06975786,0.99726331,0.09610409,0.00823964,0.13048942,0.62345225,-0.56743258,-0.09006003,-0.49542576,-0.16186236,-0.15896748,0.12716521,0.05625147,0.03121181,-0.14624007,-0.03591524,0.16225228,-0.38562039,0.21075964,-0.63046259,1.12166119,-0.01600478,-0.00383205,0.16399761,-0.06203844,-0.24023393,0.61527151,1.27111554,0.33111939,0.02181792,-0.18913759
-0.43304482,0.02601663,0.73128635,0.04019839,-0.02357359,0.06981844,0.99647069,0.11860812,-0.04710558,0.15142199,0.55815709,-0.55151284,-0.06541302,-0.48179722,-0.21776235,-0.16114157,0.11649483,-0.00367106,0.07632644,-0.14450130,-0.07437603,0.17765665,-0.37492532,0.20725328,-0.63295555,1.11782336,-0.02694837,-0.01070517,0.16301376,-0.03543954,-0.22775753,0.59845299,1.27787900,0.37118083,0.02187306,-0.17367831
-0.45655218,0.02960743,0.73582268,0.05398722,-0.02861737,0.06538273,0.99598771,0.12079345,-0.09122577,0.17009470,0.50093555,-0.50859153,-0.04231456,-0.47431713,-0.26307759,-0.18103315,0.13661756,-0.01268711,0.11048540,-0.13682774,-0.10278768,0.18205315,-0.35530743,0.20768175,-0.64386564,1.11332893,-0.02724437,-0.01444675,0.15861829,-0.01685654,-0.21562815,0.59012324,1.28159702,0.39887130,0.02068783,-0.15308881
-0.48016614,0.03234787,0.74325973,0.05681526,-0.02905742,0.05556948,0.99641347,0.11339806,-0.10930117,0.19038098,0.43689999,-0.45399278,-0.02536705,-0.48995638,-0.28109825,-0.19255158,0.23676212,-0.01436025,0.10677211,-0.12434541,-0.10934067,0.17726140,-0.32077157,0.20991577,-0.65558797,1.11576366,-0.02535918,-0.01258182,0.14762574,-0.00707453,-0.20354086,0.59333855,1.29308677,0.41323832,0.02590974,-0.13042201
-0.50332391,0.03388844,0.75131506,0.05368836,-0.02859500,0.04614083,0.99708122,0.10680275,-0.11277874,0.20531662,0.36778438,-0.39434892,-0.01422024,-0.52226198,-0.28459010,-0.17921406,0.41346264,-0.03932663,0.09131578,-0.11529476,-0.10455995,0.16809274,-0.27650058,0.21010189,-0.66909897,1.13176799,-0.02729045,-0.00591995,0.13445833,-0.00484452,-0.19239463,0.60148060,1.31018853,0.41055632,0.03686734,-0.10750672
-0.52487338,0.03447539,0.75839865,0.04880132,-0.02838819,0.03973136,0.99761420,0.09656224,-0.10997339,0.21184999,0.31003869,-0.33623552,-0.00657703,-0.54724985,-0.28677288,-0.16331138,0.61407459,-0.08021826,0.07083707,-0.11152279,-0.09749079,0.15681727,-0.22621179,0.21190102,-0.68908358,1.15499485,-0.02718139,0.00368882,0.11826770,-0.00449980,-0.18203899,0.60609043,1.32003844,0.39376894,0.04729106,-0.09103873
-0.54568881,0.03468362,0.76395184,0.04478282,-0.02823848,0.03553994,0.99796492,0.07881144,-0.10541237,0.21439260,0.27153400,-0.28647771,0.00143014,-0.55261552,-0.29882866,-0.15762416,0.80269682,-0.13366191,0.03609629,-0.10922896,-0.09312546,0.14445652,-0.17428124,0.21987535,-0.72019070,1.17937756,-0.01713408,0.01376959,0.09948075,-0.00383024,-0.17443749,0.60576487,1.31662750,0.37391385,0.04975459,-0.08645552
-0.56587052,0.03482537,0.76750815,0.04402585,-0.02764722,0.03213905,0.99813044,0.05527084,-0.10542766,0.22052632,0.24739723,-0.24347134,0.01272010,-0.53539634,-0.33228517,-0.17033912,0.96694064,-0.19174999,-0.00878591,-0.10480881,-0.09536368,0.13083942,-0.12262091,0.23439209,-0.76053119,1.20311499,0.00739370,0.02210314,0.08187298,-0.00387413,-0.17039678,0.60407740,1.30185926,0.35831973,0.04591763,-0.09304578
